firstName,apiVersion,script,id,firstName,lastName,countryOrigin,countryOriginAlt,countriesOriginTop,score,regionOrigin,topRegionOrigin,subRegionOrigin,probabilityCalibrated,probabilityAltCalibrated
oliver,namsor_api_2.0.24,LATIN,6a351e3d-3edf-4530-b521-0ec25ddc6923,oliver,,DE,CH,"DE,CH,EE,AT,DK,RS,RS,GB,SK,MK",5.053447499,Europe,Europe,Western Europe,0.613268508,0.650668537
olivia,namsor_api_2.0.24,LATIN,d4c2cb7e-886e-4a4f-9faa-eb214f316b8d,olivia,,SK,CH,"SK,CH,MD,RO,NA,IE,MG,DE,IL,LR",0,Europe,Europe,Eastern Europe,0.304766766,0.38915022
noah,namsor_api_2.0.24,LATIN,fcd96053-3cdf-4452-b6ab-72155548daa4,noah,,IL,KE,"IL,KE,LR,MY,NA,TZ,NL,ZA,MG,BN",4.546149475,Asia,Asia,Western Asia,0.582783275,0.719279772
amelia,namsor_api_2.0.24,LATIN,6fc6942d-209f-4a54-a694-84eaacf0f097,amelia,,LR,IL,"LR,IL,ID,GE,RO,NA,IE,TN,IT,SE",0,Africa,Africa,Western Africa,0.314989249,0.367373573
jack,namsor_api_2.0.24,LATIN,246469e1-151f-4e18-9271-f47c675e9e19,jack,,KE,NL,"KE,NL,GB,IE,DK,TZ,FR,IL,TW,LR",0,Africa,Africa,Eastern Africa,0.337199604,0.482183076
charlotte,namsor_api_2.0.24,LATIN,64b881ad-29c7-4979-852e-887845a94d08,charlotte,,FR,DK,"FR,DK,CM,CH,BE,NL,IE,SE,GB,LB",1.320472938,Europe,Europe,Western Europe,0.473701101,0.473701101
william,namsor_api_2.0.24,LATIN,5c8b1e95-5e3a-4b9e-91d1-84a144126a0e,william,,IE,GB,"IE,GB,NL,KE,LR,DE,BE,NA,LB,TZ",0.342613519,Europe,Europe,Northern Europe,0.408065948,0.534929617
isla,namsor_api_2.0.24,LATIN,37ca2b99-7431-4697-a0b2-ed3f351b6517,isla,,UZ,AZ,"UZ,AZ,GB,EG,GE,IL,TM,JO,QA,NA",0.982676502,Asia,Asia,Central Asia,0.463509631,0.463509631
henry,namsor_api_2.0.24,LATIN,2d374249-cd58-4962-ab99-804413384c0d,henry,,IE,NL,"IE,NL,GB,DK,KE,LR,ID,FR,KH,NA",1.064456957,Europe,Europe,Northern Europe,0.466139702,0.466139702
ava,namsor_api_2.0.24,LATIN,ebd1b7ef-d533-44e2-a69f-c5bfa352c800,ava,,IL,GE,"IL,GE,BG,UZ,AM,AZ,UA,MD,SK,CZ",7.014029863,Asia,Asia,Western Asia,0.713687244,0.75196259
leo,namsor_api_2.0.24,LATIN,80aef876-469e-486c-931e-ac0455e755c7,leo,,HR,NL,"HR,NL,GE,IL,TW,NA,IT,BW,BE,ZA",0.29413291,Europe,Europe,Southern Europe,0.399974384,0.49396924
mia,namsor_api_2.0.24,LATIN,ead30c86-4596-4b27-aace-9a1083c438e1,mia,,GE,SE,"GE,SE,HR,DK,TW,IL,FI,EE,SK,NL",0.2345135,Asia,Asia,Western Asia,0.389945871,0.389945871
lucas,namsor_api_2.0.24,LATIN,0e9f452b-e0c8-4640-9c2c-6235602d3b42,lucas,,TZ,NA,"TZ,NA,KE,FR,CH,NL,CZ,BE,CM,DE",1.403314149,Africa,Africa,Eastern Africa,0.475925391,0.475925391
grace,namsor_api_2.0.24,LATIN,0358c897-c13f-4751-b55d-043043fb61fe,grace,,KE,GB,"KE,GB,LR,IE,TZ,CM,BW,NA,TD,CF",2.498676845,Africa,Africa,Eastern Africa,0.495993583,0.500515356
theodore,namsor_api_2.0.24,LATIN,71d9bd58-343a-4ffa-9f04-4590d7b40594,theodore,,CM,FR,"CM,FR,BF,BE,TD,ZA,CI,NL,MG,CF",0.68690002,Africa,Africa,Middle Africa,0.453195676,0.594560947
chloe,namsor_api_2.0.24,LATIN,87d7153f-d2a2-455e-b947-7b776a01576a,chloe,,FR,GB,"FR,GB,TW,CY,BE,IE,CH,KR,MY,ZA",3.613343393,Europe,Europe,Western Europe,0.535210032,0.695576268
levi,namsor_api_2.0.24,LATIN,560caa1b-216b-4c51-8c6e-b38a0fc7e7be,levi,,IL,GE,"IL,GE,NA,FI,EE,ID,BE,KE,HU,TW",4.36354946,Asia,Asia,Western Asia,0.5765143,0.705881666
matilda,namsor_api_2.0.24,LATIN,70cd93d1-8c66-4ff7-a332-9a54add4e5a1,matilda,,SE,GE,"SE,GE,IE,SK,IL,NA,HR,TZ,SI,ZA",0,Europe,Europe,Northern Europe,0.204683593,0.291501371
liam,namsor_api_2.0.24,LATIN,e51298e0-25da-4c2e-9dc2-fb7d534c6b56,liam,,IE,GB,"IE,GB,IL,NL,GE,AM,MY,NA,BE,TW",0.355044988,Europe,Europe,Northern Europe,0.410130469,0.695601832
ella,namsor_api_2.0.24,LATIN,22f98458-4625-4006-9641-d76990647f5c,ella,,AZ,IE,"AZ,IE,IL,CY,SE,RU,GB,NL,NA,FI",1.132958558,Asia,Asia,Western Asia,0.468263806,0.468263806
elijah,namsor_api_2.0.24,LATIN,32becb66-de62-4ae6-9f03-37f3179ace0f,elijah,,KE,LR,"KE,LR,IL,NA,IE,TZ,GB,ID,MY,LB",1.293380763,Africa,Africa,Eastern Africa,0.472949987,0.887575187
sienna,namsor_api_2.0.24,LATIN,a9c47d5b-2290-48a1-8e32-07d7d600eebe,sienna,,KH,NL,"KH,NL,IL,NA,MY,LR,BG,BF,FI,ZA",2.166504296,Asia,Asia,South-Eastern Asia,0.491553232,0.491553232
thomas,namsor_api_2.0.24,LATIN,e3ef0241-09c8-47af-91a3-d5068273e2fd,thomas,,AT,DK,"AT,DK,DE,SE,IE,CH,NO,BE,NA,GB",2.82892515,Europe,Europe,Western Europe,0.499329469,0.535866195
sophia,namsor_api_2.0.24,LATIN,0fea7597-bf41-4c54-8e75-4f455e7fa7f9,sophia,,CY,GE,"CY,GE,TZ,KH,IL,NA,KE,SE,GB,IE",0,Asia,Asia,Western Asia,0.263212795,0.332000461
charlie,namsor_api_2.0.24,LATIN,3bd07c31-4607-4788-b403-9b338b7a090d,charlie,,FR,CM,"FR,CM,GB,IE,TW,SE,NL,BE,DK,LB",0.107485673,Europe,Europe,Western Europe,0.368367024,0.380303723
