firstName,apiVersion,script,id,firstName,lastName,countryOrigin,countryOriginAlt,countriesOriginTop,score,regionOrigin,topRegionOrigin,subRegionOrigin,probabilityCalibrated,probabilityAltCalibrated
susan,namsor_api_2.0.24,LATIN,5a7004bd-5489-462f-ba63-c59353a28266,susan,,GB,IE,"GB,IE,KE,AZ,DK,NL,AM,ID,SE,GE",0,Europe,Europe,Northern Europe,0.32597354108878795,0.38285251105775797
mary,namsor_api_2.0.24,LATIN,64ef8c84-3520-4e61-a077-6123b7f5c016,mary,,IE,KE,"IE,KE,GB,LR,TZ,IL,NL,MG,NA,AM",4.27274281276522,Europe,Europe,Northern Europe,0.572955547426031,0.6833057370934912
karen,namsor_api_2.0.24,LATIN,acbf6c89-a569-4d31-8bf9-eb88d972f731,karen,,AM,DK,"AM,DK,GB,NO,BE,NL,EE,DE,IE,TW",0.631432534565518,Asia,Asia,Western Asia,0.4511344811635333,0.6204716544779035
cynthia,namsor_api_2.0.24,LATIN,549efdbc-47a1-462c-b732-64b457d53392,cynthia,,LR,KE,"LR,KE,NL,ZA,LB,TW,NA,CM,CH,GB",0,Africa,Africa,Western Africa,0.3450562327510489,0.47658386844328626
lisa,namsor_api_2.0.24,LATIN,2f937920-571d-44a5-bdea-a80499cb9ebb,lisa,,SE,NL,"SE,NL,ZA,GB,RU,AT,ID,IE,DK,NA",2.8056978644902273,Europe,Europe,Northern Europe,0.49912503788376694,0.5006025647691614
linda,namsor_api_2.0.24,LATIN,29f6722d-4ce9-474e-8770-6aaa21ef97cb,linda,,SE,ZA,"SE,ZA,NL,NA,CZ,ID,IL,GB,NO,GE",0.0980375886809033,Europe,Europe,Northern Europe,0.3667540034345794,0.3947936298043044
debra,namsor_api_2.0.24,LATIN,060cb6e5-79a6-4f13-b9d7-ad80ab346ff9,debra,,GB,ET,"GB,ET,ZA,IE,NL,BG,KE,ID,TZ,IL",9.286454769402551,Europe,Europe,Northern Europe,0.798298919963028,0.8056042791643536
patricia,namsor_api_2.0.24,LATIN,e0deef9a-ad14-4dad-ba89-055ef5538927,patricia,,SK,IE,"SK,IE,CH,LR,KE,IT,NA,SE,FR,BE",0.8928741860438603,Europe,Europe,Eastern Europe,0.46050683496616907,0.46050683496616907
deborah,namsor_api_2.0.24,LATIN,d2a70213-7620-43d7-9642-b877d701dc32,deborah,,IE,GB,"IE,GB,LR,KE,CH,TZ,IL,NL,ID,FR",0,Europe,Europe,Northern Europe,0.29276421656398377,0.3633705151812889
sandra,namsor_api_2.0.24,LATIN,4b44c70f-ea0e-4694-b3be-eb5c09f87c86,sandra,,RS,RS,"RS,RS,AT,CH,LK,NL,RO,IN,HU,HR",0,Europe,Europe,Southern Europe,0.3424666676871729,0.5039884998597627
