Rank,Name,Count,Sex,Year
1,olivia,2411,Female,2021
2,emma,2182,Female,2021
3,camila,2076,Female,2021
4,mia,2039,Female,2021
5,sophia,1821,Female,2021
6,isabella,1662,Female,2021
7,luna,1466,Female,2021
8,amelia,1375,Female,2021
9,sofia,1316,Female,2021
10,gianna,1292,Female,2021
11,ava,1269,Female,2021
12,charlotte,1145,Female,2021
13,emily,1098,Female,2021
14,mila,1072,Female,2021
15,aria,1002,Female,2021
16,evelyn,971,Female,2021
17,natalia,952,Female,2021
18,victoria,942,Female,2021
19,abigail,926,Female,2021
20,penelope,911,Female,2021
21,scarlett,833,Female,2021
22,chloe,784,Female,2021
23,layla,780,Female,2021
24,maya,776,Female,2021
25,zoe,770,Female,2021
1,olivia,2352,Female,2020
2,camila,2192,Female,2020
3,emma,2117,Female,2020
4,mia,2047,Female,2020
5,sophia,2001,Female,2020
6,isabella,1874,Female,2020
7,gianna,1532,Female,2020
8,luna,1468,Female,2020
9,sofia,1282,Female,2020
10,amelia,1255,Female,2020
11,emily,1249,Female,2020
12,ava,1230,Female,2020
13,charlotte,1182,Female,2020
14,abigail,1067,Female,2020
15,victoria,1041,Female,2020
16,evelyn,1017,Female,2020
17,mila,1008,Female,2020
18,penelope,969,Female,2020
19,aria,935,Female,2020
20,natalia,854,Female,2020
21,chloe,814,Female,2020
22,scarlett,813,Female,2020
23,ella,810,Female,2020
24,zoe,783,Female,2020
25,layla,745,Female,2020
1,olivia,2613,Female,2019
2,emma,2403,Female,2019
3,mia,2364,Female,2019
4,sophia,2097,Female,2019
5,camila,2073,Female,2019
6,isabella,2018,Female,2019
7,luna,1509,Female,2019
8,emily,1473,Female,2019
9,ava,1420,Female,2019
10,sofia,1408,Female,2019
11,victoria,1326,Female,2019
12,abigail,1298,Female,2019
13,amelia,1278,Female,2019
14,charlotte,1225,Female,2019
15,mila,1219,Female,2019
16,evelyn,1167,Female,2019
17,penelope,1109,Female,2019
18,aria,1043,Female,2019
19,scarlett,957,Female,2019
20,ella,899,Female,2019
21,elizabeth,879,Female,2019
22,chloe,876,Female,2019
23,avery,830,Female,2019
24,zoe,829,Female,2019
25,valentina,782,Female,2019
1,emma,2746,Female,2018
2,mia,2495,Female,2018
3,olivia,2465,Female,2018
4,isabella,2204,Female,2018
5,sophia,2158,Female,2018
6,camila,2086,Female,2018
7,sofia,1508,Female,2018
8,emily,1505,Female,2018
9,victoria,1463,Female,2018
10,luna,1444,Female,2018
11,ava,1391,Female,2018
12,abigail,1376,Female,2018
13,charlotte,1337,Female,2018
14,mila,1294,Female,2018
15,amelia,1207,Female,2018
16,evelyn,1157,Female,2018
17,aria,1080,Female,2018
18,penelope,1075,Female,2018
19,scarlett,954,Female,2018
20,chloe,924,Female,2018
21,ella,896,Female,2018
22,elizabeth,895,Female,2018
23,avery,849,Female,2018
24,zoe,839,Female,2018
25,genesis,810,Female,2018
1,emma,2734,Female,2017
2,mia,2581,Female,2017
3,olivia,2479,Female,2017
4,sophia,2436,Female,2017
5,isabella,2342,Female,2017
6,emily,1805,Female,2017
7,camila,1782,Female,2017
8,sofia,1677,Female,2017
9,abigail,1544,Female,2017
10,ava,1524,Female,2017
11,victoria,1487,Female,2017
12,charlotte,1387,Female,2017
13,evelyn,1171,Female,2017
14,luna,1150,Female,2017
15,scarlett,1104,Female,2017
16,penelope,1086,Female,2017
17,amelia,1072,Female,2017
18,aria,1064,Female,2017
19,mila,1052,Female,2017
20,elizabeth,967,Female,2017
21,chloe,949,Female,2017
22,zoe,886,Female,2017
23,grace,882,Female,2017
24,samantha,871,Female,2017
25,genesis,853,Female,2017
1,mia,2792,Female,2016
2,sophia,2749,Female,2016
3,emma,2599,Female,2016
4,olivia,2537,Female,2016
5,isabella,2346,Female,2016
6,emily,1948,Female,2016
7,sofia,1897,Female,2016
8,camila,1645,Female,2016
9,ava,1609,Female,2016
10,abigail,1586,Female,2016
11,victoria,1552,Female,2016
12,charlotte,1378,Female,2016
13,evelyn,1185,Female,2016
14,scarlett,1114,Female,2016
15,penelope,1059,Female,2016
16,amelia,1055,Female,2016
17,alexa,1025,Female,2016
18,elizabeth,1020,Female,2016
19,samantha,1009,Female,2016
20,aria,1004,Female,2016
21,chloe,978,Female,2016
22,avery,961,Female,2016
23,madison,916,Female,2016
24,zoe,909,Female,2016
25,genesis,898,Female,2016
1,sophia,2944,Female,2015
2,mia,2856,Female,2015
3,emma,2707,Female,2015
4,olivia,2515,Female,2015
5,isabella,2392,Female,2015
6,emily,2142,Female,2015
7,sofia,2014,Female,2015
8,abigail,1764,Female,2015
9,victoria,1570,Female,2015
10,ava,1535,Female,2015
11,alexa,1435,Female,2015
12,camila,1408,Female,2015
13,charlotte,1338,Female,2015
14,samantha,1110,Female,2015
15,evelyn,1063,Female,2015
16,scarlett,1054,Female,2015
17,madison,1032,Female,2015
18,elizabeth,992,Female,2015
19,penelope,989,Female,2015
20,zoe,957,Female,2015
21,chloe,950,Female,2015
22,natalie,938,Female,2015
23,avery,923,Female,2015
24,allison,902,Female,2015
25,aria,897,Female,2015
25,grace,897,Female,2015
1,sophia,3174,Female,2014
2,isabella,2713,Female,2014
3,emma,2675,Female,2014
4,mia,2619,Female,2014
5,olivia,2411,Female,2014
6,emily,2267,Female,2014
7,sofia,2094,Female,2014
8,victoria,1701,Female,2014
9,abigail,1524,Female,2014
10,camila,1482,Female,2014
11,ava,1434,Female,2014
12,samantha,1194,Female,2014
13,charlotte,1122,Female,2014
14,evelyn,1110,Female,2014
15,elizabeth,1085,Female,2014
16,natalie,1066,Female,2014
17,chloe,1051,Female,2014
18,madison,988,Female,2014
19,genesis,973,Female,2014
20,scarlett,966,Female,2014
21,grace,949,Female,2014
22,zoe,923,Female,2014
23,melanie,918,Female,2014
24,allison,905,Female,2014
25,audrey,902,Female,2014
